url,title,price,lat,lon,listing_id,section_alias,category_alias,rooms_structured,area_m2_structured,photo_count,is_estate_verified,is_booking_enabled,rental_period,Город,Жилой комплекс,Этаж,Площадь,Кухня студия,Состояние квартиры,Возможности размещения,Часы пребывания,Удобства,Ванная комната,Кому подойдет квартира,Безопасность,Новостройка,Застройщик,scraped_at,Год постройки,Санузел,Квартира меблирована,Балкон остеклён,Тип дома,Дверь,Интернет,Телефон,Парковка,Балкон
https://krisha.kz/a/show/682176537,"2-комнатная квартира · 52 м² · 7/9 этаж, Улы дала 56",18000,51.097186,71.409777,682176537,arenda,kvartiry-posutochno,2,52.0,9,False,False,daily,"Астана, Есильский р-н",Expo Boulevard,7 из 9,52 м²,да,"свежий ремонт, новая мебель","6 гостей, 1 кровать, 2 дивана","Заезд 13:00, выезд 12:00","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, лифт","ванна, полотенца, фен, шампунь","некурящим, могу сдать на ночь, можно с детьми","домофон, паркинг, рядом есть парковка",False,BI Group Юг,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/1007584528,"1-комнатная квартира · 35 м² · 7/12 этаж, Чингиз Айтматова 77/7",14000,51.167001,71.368823,1007584528,arenda,kvartiry-posutochno,1,35.0,10,False,True,daily,"Астана, Нура р-н",Qaiyndy 3,7 из 12,"35 м², Площадь кухни — 9 м²",,,"2 гостя, 1 кровать, 1 диван","Заезд 15:00, выезд 12:00","интернет, телевизор, стиральная машина, микроволновая печь, посуда, кондиционер, посудомоечная машина, лифт","ванна, полотенца, шампунь, гель для душа",некурящим,"домофон, электронные замки, паркинг, рядом есть парковка",False,,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/1012436884,"1-комнатная квартира · 40 м² · 2/12 этаж, Улы Дала 33",15000,51.099885639701,71.401968156947,1012436884,arenda,kvartiry-posutochno,1,40.0,4,False,False,daily,"Астана, Нура р-н",Alpamys,2 из 12,"40 м², Площадь кухни — 9 м²",,"свежий ремонт, новая мебель","2 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","ванна, полотенца, тапочки, фен, шампунь, гель для душа","некурящим, могу сдать на ночь, можно с детьми","домофон, паркинг, рядом есть парковка",False,ТОО Mercury Planet,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/1013204779,"1-комнатная квартира · 40 м² · 14/14 этаж, Бектурова 4В — Туран бектуров",14000,51.118038268365,71.397195890919,1013204779,arenda,kvartiry-posutochno,1,40.0,9,False,False,daily,"Астана, Есильский р-н",Алтын Шар 1,14 из 14,"40 м², Площадь кухни — 10 м²",,"свежий ремонт, новая мебель","2 гостя, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, посуда, лифт","ванна, полотенца, фен, шампунь, гель для душа","некурящим, могу сдать на ночь, можно с детьми","домофон, видеодомофон, паркинг, рядом есть парковка",False,Шар-Құрылыс,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/689893581,"1-комнатная квартира · 43 м², Нажмеденова",20000,51.112824558783,71.524538450847,689893581,arenda,kvartiry-posutochno,1,43.0,24,False,False,daily,"Астана, Алматы р-н",,,43 м²,,"свежий ремонт, новая мебель",4 гостя,"Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","ванна, полотенца, халат, тапочки, фен, шампунь, гель для душа","некурящим, могу сдать на ночь","домофон, электронные замки",False,,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/1013237133,"1-комнатная квартира · 25 м² · 16/16 этаж, Туран 39/2 — Хан-Шатыр, Сыганак, РДЦ, Центр материнства и детства, Центр Сердца, Азия Парк, Гашыктар Парк",18000,51.128793079076,71.403750971502,1013237133,arenda,kvartiry-posutochno,1,25.0,39,False,False,daily,"Астана, Нура р-н",Evolution,16 из 16,25 м²,да,"свежий ремонт, новая мебель","2 гостя, 1 кровать","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","душевая кабина, полотенца, тапочки, фен, шампунь, гель для душа","некурящим, могу сдать на ночь","домофон, видеодомофон, электронные замки, рядом есть парковка",False,BAZIS–А,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/693749077,"2-комнатная квартира · 43 м², Нажмеденова",22000,51.113869116403,71.525128868215,693749077,arenda,kvartiry-posutochno,2,43.0,17,False,False,daily,"Астана, Алматы р-н",Qazaq Eli Sairam,,43 м²,да,,"4 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00","интернет, телевизор, стиральная машина, микроволновая печь, посуда, кондиционер, посудомоечная машина, лифт","душевая кабина, полотенца, халат, тапочки, фен, шампунь, гель для душа","некурящим, могу сдать на ночь","домофон, электронные замки",False,ULYTAU GROUP,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/684677017,"1-комнатная квартира · 40 м² · 5 этаж, Казыбек Би — Казыбек би 9",16000,51.118743,71.390337,684677017,arenda,kvartiry-posutochno,1,40.0,17,False,False,daily,"Астана, Есильский р-н",,5,"40 м², Площадь кухни — 15 м²",,"свежий ремонт, новая мебель","2 гостя, 1 кровать, 1 диван","Заезд 13:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт, кофеварка","ванна, полотенца, халат, тапочки, фен, шампунь, гель для душа",некурящим,"видеодомофон, электронные замки, рядом есть парковка",False,,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/685834381,"1-комнатная квартира · 38 м² · 7/11 этаж, Абикен Бектурова",15000,51.123695281907,71.39730838409,685834381,arenda,kvartiry-posutochno,1,38.0,21,False,False,daily,"Астана, Нура р-н",Turan Life,7 из 11,"38 м², Площадь кухни — 12 м²",да,"свежий ремонт, новая мебель","2 гостя, 1 кровать","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","ванна, полотенца, шампунь, гель для душа",некурящим,"домофон, рядом есть парковка",False,BI Group Юг,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/1009010166,"1-комнатная квартира · 28 м² · 2/12 этаж, Байтурсынұлы 61",15000,51.115177453278,71.53575230026,1009010166,arenda,kvartiry-posutochno,1,28.0,4,False,False,daily,"Астана, Сарайшык р-н",Tasty,2 из 12,28 м²,да,"свежий ремонт, новая мебель","4 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, лифт","ванна, полотенца, тапочки, фен, шампунь, гель для душа","некурящим, могу сдать на ночь","видеодомофон, электронные замки, рядом есть парковка",False,Beles,2026-08-05T16:37:35+00:00,,,,,,,,,,
