url,title,price,lat,lon,listing_id,section_alias,category_alias,rooms_structured,area_m2_structured,photo_count,is_estate_verified,is_booking_enabled,rental_period,Город,Площадь,Новостройка,scraped_at,Жилой комплекс,Этаж,Кухня студия,Состояние квартиры,Квартира меблирована,Безопасность,Бывшее общежитие,Мебель,Удобства,Санузел,Количество санузлов,Ванная комната,Окна,Балкон,Кому подойдет квартира,Застройщик,Лоджия
https://krisha.kz/a/show/1009643324,"2-комнатная квартира · 53 м² · 11/24 этаж, Кайыма Мухамедханова 15",250000,51.140534,71.38899,1009643324,arenda,kvartiry,2,53.0,6,False,False,monthly,"Астана, Есильский р-н",53 м²,False,2026-08-05T15:50:55+00:00,Самрук Towers,11 из 24,да,"не новый, но аккуратный и чистый ремонт",полностью,"домофон, видеонаблюдение",нет,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван","стиральная машина, холодильник, микроволновая печь, кондиционер, лифт",совмещен,1,ванна,на улицу,1,"семейной паре, некурящим, одному человеку, можно с детьми",ТОО «Berkut Development»,нет
https://krisha.kz/a/show/1009284448,"2-комнатная квартира · 70 м² · 5 этаж, Сыганак 16",250000,51.129773,71.375848,1009284448,arenda,kvartiry,2,70.0,30,False,False,monthly,"Астана, Нура р-н",70 м²,False,2026-08-05T15:50:55+00:00,Шыгыс,5,,,частично,"домофон, видеонаблюдение",нет,"обеденный стол, шкаф для одежды, кухонный гарнитур, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, пылесос, кладовая, лифт",разделен,1,ванна,на улицу,1,можно с детьми,Елорда Курылыс Компаниясы,
https://krisha.kz/a/show/1013303680,"1-комнатная квартира · 38 м², Момышулы 10/1 — ЖК КАРАВАН",200000,51.138697,71.47636,1013303680,arenda,kvartiry,1,38.0,9,False,False,monthly,"Астана, Сарыарка р-н",38 м²,False,2026-08-05T15:50:55+00:00,,,,,полностью,,,,,,,,,,,,
https://krisha.kz/a/show/1002169385,"2-комнатная квартира · 71 м² · 2/10 этаж, Мәңгілік ел 37/1 — Триумфальная арка",400000,51.103566,71.426773,1002169385,arenda,kvartiry,2,71.0,10,False,False,monthly,"Астана, Есильский р-н","71 м², Площадь кухни — 18 м²",False,2026-08-05T15:50:55+00:00,Park Avenue,2 из 10,,"свежий ремонт, новая мебель",полностью,"решетки на окнах, домофон, кодовый замок, видеодомофон",нет,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, посуда, сушилка, лифт",совмещен,1,ванна,на улицу,,"семейной паре, некурящим, одному человеку",BI Group Юг,1
https://krisha.kz/a/show/1008767580,"1-комнатная квартира · 37 м² · 5/12 этаж, Улица А 52 6/1",200000,51.106552,71.511808,1008767580,arenda,kvartiry,1,37.0,13,False,False,monthly,"Астана, Алматы р-н","37 м², Площадь кухни — 8 м²",False,2026-08-05T15:50:55+00:00,Geneva 2,5 из 12,,"свежий ремонт, новая мебель",полностью,домофон,нет,"обеденный стол, шкаф для одежды, кухонный гарнитур, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, кондиционер, пылесос, посуда, сушилка, лифт",совмещен,1,ванна,на улицу,1,"семейной паре, некурящим, одному человеку",G-Park,
https://krisha.kz/a/show/762203305,"4-комнатная квартира · 76 м² · 5/5 этаж, Карасай Батыра",300000,51.199047,71.390194,762203305,arenda,kvartiry,4,76.0,10,False,False,monthly,"Астана, Сарыарка р-н","76 м², Площадь кухни — 8 м²",False,2026-08-05T15:50:55+00:00,,5 из 5,,"не новый, но аккуратный и чистый ремонт",полностью,домофон,нет,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","стиральная машина, холодильник, микроволновая печь, посуда, сушилка, кладовая",разделен,1,ванна,"во двор, на улицу",2,,,
https://krisha.kz/a/show/1014571717,"2-комнатная квартира · 60 м² · 6/14 этаж, Отырар 18 — Кенесары",180000,51.169016861732,71.44575862214,1014571717,arenda,kvartiry,2,60.0,12,False,False,monthly,"Астана, р-н Байконур",60 м²,False,2026-08-05T15:50:55+00:00,Береке,6 из 14,,,полностью,"домофон, видеонаблюдение",нет,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван","интернет, телевизор, стиральная машина, холодильник, лифт",совмещен,1,ванна,на улицу,1,"семейной паре, одному человеку, можно с детьми",Жана Курылыс,
https://krisha.kz/a/show/1014558832,"2-комнатная квартира · 53 м² · 8/9 этаж, Рыскулова — Ул.Т.Рыскулова",330000,51.086262,71.411789,1014558832,arenda,kvartiry,2,53.0,9,False,False,monthly,"Астана, Есильский р-н",53 м²,False,2026-08-05T15:50:55+00:00,Nexpo City,8 из 9,да,"свежий ремонт, новая мебель",полностью,"домофон, видеонаблюдение, видеодомофон",нет,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, кондиционер, пылесос, посуда, сушилка, лифт",совмещен,1,ванна,на улицу,1,"некурящим, одному человеку",BI Group Юг,
https://krisha.kz/a/show/1014284286,"1-комнатная квартира · 56 м², Косшыгулулы 7",220000,51.167460539602,71.391181118665,1014284286,arenda,kvartiry,1,56.0,6,False,False,monthly,Астана,"56 м², Площадь кухни — 18 м²",False,2026-08-05T15:50:55+00:00,,5,,,полностью,"решетки на окнах, домофон, видеонаблюдение",,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, пылесос, посуда, сушилка, лифт",совмещен,1,ванна,во двор,,"семейной паре, некурящим, одному человеку, можно с детьми",,1
https://krisha.kz/a/show/1014226350,"3-комнатная квартира · 105 м² · 12/21 этаж, Сарайшык 6 — Кунаева",749999,51.135046,71.419649,1014226350,arenda,kvartiry,3,105.0,9,False,False,monthly,"Астана, Есильский р-н",105 м²,False,2026-08-05T15:50:55+00:00,Atlant,12 из 21,,"свежий ремонт, новая мебель",полностью,"охрана, домофон, видеонаблюдение",,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, сушилка, лифт",разделен,2,ванна,,,"семейной паре, можно с детьми",BI Group Север,
https://krisha.kz/a/show/1014484230,"1-комнатная квартира · 42 м² · 5/20 этаж, Туран 44/2",250000,51.113078,71.402914,1014484230,arenda,kvartiry,1,42.0,10,False,False,monthly,Астана,42 м²,False,2026-08-05T15:50:55+00:00,Shabyt,5 из 20,,"свежий ремонт, новая мебель",полностью,"домофон, видеонаблюдение",,"обеденный стол, шкаф для одежды, кухонный гарнитур, диван","интернет, телевизор, стиральная машина, холодильник, кондиционер, лифт",совмещен,1,ванна,,,"семейной паре, некурящим, одному человеку, можно с детьми",BI Group Юг,
https://krisha.kz/a/show/1013262164,"2-комнатная квартира · 60 м² · 2 этаж, Мангилик Ел 68",500000,51.074629540662,71.420325960607,1013262164,arenda,kvartiry,2,60.0,18,False,False,monthly,"Астана, Есильский р-н",60 м²,False,2026-08-05T15:50:55+00:00,Talmas,2,,"свежий ремонт, новая мебель",полностью,,нет,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, посуда, сушилка, лифт",совмещен,,,,,,Sensata Group,
https://krisha.kz/a/show/1014570828,"2-комнатная квартира · 60 м² · 4/14 этаж, Сарайшык 7Б",250000,51.135108,71.427393,1014570828,arenda,kvartiry,2,60.0,7,False,False,monthly,"Астана, Есильский р-н",60 м²,False,2026-08-05T15:50:55+00:00,Лазурный квартал,4 из 14,,"не новый, но аккуратный и чистый ремонт",полностью,,,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван","телевизор, стиральная машина, холодильник, лифт",совмещен,1,душевая кабина,,1,"семейной паре, некурящим, одному человеку, можно с детьми",BI Group Юг,
https://krisha.kz/a/show/1007867476,"3-комнатная квартира · 110 м² · 2/6 этаж, Сарыкенгир",400000,51.140403005885,71.448485333822,1007867476,arenda,kvartiry,3,110.0,16,False,False,monthly,"Астана, Алматы р-н",110 м²,False,2026-08-05T15:50:55+00:00,Ак Булак-3,2 из 6,,"не новый, но аккуратный и чистый ремонт",полностью,"охрана, домофон, кодовый замок, консьерж",нет,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, пылесос, сушилка",совмещен,2,ванна,"во двор, на улицу",1,"семейной паре, можно с детьми",Строй-Контракт,
https://krisha.kz/a/show/1009314618,"1-комнатная квартира · 30 м² · 4/5 этаж, Республики 38 — Жангельдина",180000,51.175015,71.425452,1009314618,arenda,kvartiry,1,30.0,6,False,False,monthly,"Астана, Алматы р-н",30 м²,False,2026-08-05T15:50:55+00:00,,4 из 5,,"свежий ремонт, новая мебель",полностью,"домофон, видеонаблюдение",нет,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, пылесос, сушилка",совмещен,1,ванна,"во двор, на улицу",1,"семейной паре, некурящим, одному человеку",,
https://krisha.kz/a/show/1006009972,"3-комнатная квартира · 80 м² · 6/8 этаж, Керей, Жанибек хандар 2 — Туран",470000,51.116442,71.402653,1006009972,arenda,kvartiry,3,80.0,10,False,False,monthly,"Астана, Нура р-н",80 м²,False,2026-08-05T15:50:55+00:00,Асем Тас 2,6 из 8,,"не новый, но аккуратный и чистый ремонт",полностью,"охрана, домофон, видеонаблюдение, видеодомофон",нет,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, пылесос, посуда, сушилка, лифт",разделен,2,ванна,"во двор, на улицу",1,"семейной паре, некурящим, можно с детьми",ORDA INVEST,
https://krisha.kz/a/show/1014000102,"2-комнатная квартира · 46 м² · 3/5 этаж, Карасай батыра 6",150000,51.196761,71.399644,1014000102,arenda,kvartiry,2,46.0,8,False,False,monthly,"Астана, Сарыарка р-н",46 м²,False,2026-08-05T15:50:55+00:00,,3 из 5,,"не новый, но аккуратный и чистый ремонт",полностью,"домофон, видеонаблюдение",нет,"обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь",совмещен,,,"во двор, на улицу",1,"семейной паре, некурящим, одному человеку, можно с детьми",,
https://krisha.kz/a/show/1011824843,"1-комнатная квартира · 40 м² · 1/15 этаж, Түркістан 4",220000,51.116934,71.428471,1011824843,arenda,kvartiry,1,40.0,5,False,False,monthly,"Астана, Есильский р-н",40 м²,False,2026-08-05T15:50:55+00:00,,1 из 15,,"свежий ремонт, новая мебель",полностью,"решетки на окнах, домофон",нет,"обеденный стол, шкаф для одежды, кухонный гарнитур, диван","телевизор, стиральная машина, холодильник, микроволновая печь, посуда, лифт",совмещен,1,ванна,во двор,нет,"семейной паре, некурящим, одному человеку, можно с детьми",,нет
